Date,Volume,Low,Close,Open,Market Cap,High
"Mar 21, 2017","4,970,080",3.98,4.01,4.04,"202,923,000",4.04
"Mar 20, 2017","4,068,240",3.89,4.03,3.95,"198,555,000",4.05
"Mar 19, 2017","6,013,050",3.90,3.96,3.96,"198,801,000",4.03
"Mar 18, 2017","12,199,700",3.86,3.97,4.04,"202,967,000",4.16
"Mar 17, 2017","11,109,600",4.04,4.06,4.23,"212,582,000",4.23
"Mar 16, 2017","12,755,200",4.10,4.24,4.15,"208,204,000",4.38
"Mar 15, 2017","6,571,900",4.00,4.16,4.05,"203,099,000",4.18
"Mar 14, 2017","7,928,910",4.01,4.06,4.17,"209,412,000",4.17
"Mar 13, 2017","22,439,100",3.83,4.17,3.85,"192,979,000",4.25
"Mar 12, 2017","3,373,750",3.78,3.84,3.79,"189,874,000",3.86
"Mar 11, 2017","3,463,740",3.75,3.80,3.76,"188,428,000",3.84
"Mar 10, 2017","7,090,150",3.73,3.75,3.83,"191,858,000",3.88
"Mar 09, 2017","3,092,100",3.76,3.84,3.77,"188,704,000",3.84
"Mar 08, 2017","4,594,400",3.75,3.78,3.81,"190,712,000",3.82
"Mar 07, 2017","5,619,560",3.80,3.82,3.89,"194,991,000",3.91
"Mar 06, 2017","4,393,810",3.86,3.92,3.87,"193,846,000",3.93
"Mar 05, 2017","2,836,910",3.84,3.90,3.86,"193,336,000",3.90
"Mar 04, 2017","3,361,400",3.86,3.88,3.91,"195,730,000",3.92
"Mar 03, 2017","7,515,680",3.90,3.92,3.92,"196,144,000",4.00
"Mar 02, 2017","9,439,480",3.78,3.92,3.80,"189,785,000",4.11
"Mar 01, 2017","4,405,000",3.76,3.80,3.77,"188,623,000",3.81
"Feb 28, 2017","4,045,440",3.76,3.77,3.80,"190,098,000",3.82
"Feb 27, 2017","3,766,590",3.80,3.80,3.81,"190,522,000",3.83
"Feb 26, 2017","2,688,250",3.80,3.83,3.82,"190,585,000",3.85
"Feb 25, 2017","3,581,200",3.81,3.83,3.85,"192,344,000",3.86
"Feb 24, 2017","6,921,090",3.82,3.85,3.83,"191,226,000",3.88
"Feb 23, 2017","4,096,480",3.80,3.84,3.80,"189,631,000",3.85
"Feb 22, 2017","4,547,610",3.78,3.81,3.79,"188,961,000",3.84
"Feb 21, 2017","4,110,740",3.76,3.78,3.76,"187,718,000",3.80
"Feb 20, 2017","3,128,060",3.75,3.77,3.77,"187,912,000",3.78
"Feb 19, 2017","2,701,490",3.74,3.76,3.79,"189,049,000",3.79
"Feb 18, 2017","3,209,270",3.78,3.79,3.83,"190,755,000",3.83
"Feb 17, 2017","4,001,350",3.77,3.83,3.78,"188,226,000",3.84
"Feb 16, 2017","3,991,580",3.78,3.79,3.80,"189,087,000",3.82
"Feb 15, 2017","2,683,590",3.76,3.81,3.77,"187,657,000",3.82
"Feb 14, 2017","3,994,400",3.71,3.77,3.72,"184,921,000",3.77
"Feb 13, 2017","4,721,650",3.70,3.72,3.77,"187,506,000",3.77
"Feb 12, 2017","2,706,320",3.75,3.76,3.80,"188,829,000",3.80
"Feb 11, 2017","3,340,840",3.77,3.79,3.78,"187,849,000",3.80
"Feb 10, 2017","7,918,280",3.70,3.78,3.80,"188,981,000",3.81
"Feb 09, 2017","21,297,300",3.71,3.80,4.03,"200,288,000",4.08
"Feb 08, 2017","7,016,980",3.97,4.02,4.05,"201,226,000",4.08
"Feb 07, 2017","6,570,650",4.04,4.04,4.05,"201,352,000",4.08
"Feb 06, 2017","4,972,300",4.04,4.04,4.06,"201,525,000",4.08
"Feb 05, 2017","4,635,400",4.02,4.04,4.07,"201,824,000",4.07
"Feb 04, 2017","6,926,300",4.02,4.06,4.08,"202,727,000",4.10
"Feb 03, 2017","8,548,470",4.04,4.08,4.08,"202,531,000",4.11
"Feb 02, 2017","5,175,450",4.02,4.09,4.08,"202,147,000",4.09
"Feb 01, 2017","7,753,930",4.03,4.08,4.08,"202,128,000",4.13
"Jan 31, 2017","15,799,800",4.02,4.08,4.02,"199,116,000",4.10
"Jan 30, 2017","10,192,700",3.86,4.02,3.86,"191,115,000",4.02
"Jan 29, 2017","2,804,420",3.84,3.85,3.85,"190,873,000",3.86
"Jan 28, 2017","3,305,270",3.84,3.85,3.85,"190,872,000",3.87
"Jan 27, 2017","5,049,680",3.81,3.86,3.84,"190,149,000",3.86
"Jan 26, 2017","5,817,220",3.71,3.83,3.71,"183,873,000",3.84
"Jan 25, 2017","6,863,540",3.69,3.71,3.79,"187,625,000",3.80
"Jan 24, 2017","2,629,220",3.78,3.79,3.84,"189,741,000",3.84
"Jan 23, 2017","2,725,110",3.82,3.84,3.86,"190,717,000",3.86
"Jan 22, 2017","2,630,830",3.82,3.84,3.90,"192,953,000",3.92
"Jan 21, 2017","2,717,700",3.89,3.90,3.89,"192,408,000",3.92
"Jan 20, 2017","3,427,180",3.84,3.89,3.86,"190,693,000",3.91
"Jan 19, 2017","4,090,650",3.81,3.86,3.84,"189,782,000",3.93
"Jan 18, 2017","4,321,020",3.78,3.84,3.94,"194,678,000",3.95
