Date,Close,High,Open,Market Cap,Volume,Low
"Oct 25, 2017",28.54,30.11,30.11,"1,505,590,000","35,558,400",28.54
"Oct 24, 2017",30.15,32.72,27.34,"1,367,240,000","78,225,600",26.73
"Oct 23, 2017",27.51,28.65,28.49,"1,424,610,000","28,154,800",26.43
"Oct 22, 2017",28.79,29.48,27.15,"1,357,500,000","36,184,100",27.10
"Oct 21, 2017",27.13,28.28,27.76,"1,387,840,000","34,058,900",26.04
"Oct 20, 2017",27.75,29.50,28.68,"1,433,880,000","36,933,700",27.73
"Oct 19, 2017",28.66,29.96,29.66,"1,482,970,000","30,401,400",28.48
"Oct 18, 2017",29.67,31.78,31.66,"1,583,190,000","49,659,700",28.44
"Oct 17, 2017",31.40,32.55,28.50,"1,425,090,000","74,210,000",27.81
"Oct 16, 2017",28.53,29.07,27.76,"1,388,080,000","34,713,200",26.96
"Oct 15, 2017",27.73,28.47,27.65,"1,382,450,000","31,189,200",26.91
"Oct 14, 2017",27.80,29.45,29.32,"1,465,980,000","33,551,100",27.65
"Oct 13, 2017",29.35,29.87,27.85,"1,392,660,000","81,365,000",26.45
"Oct 12, 2017",28.18,30.36,30.01,"1,500,520,000","61,080,400",27.61
"Oct 11, 2017",29.96,31.23,29.30,"1,464,940,000","33,627,700",29.30
"Oct 10, 2017",29.31,31.20,29.15,"1,457,270,000","48,223,600",28.07
"Oct 09, 2017",29.10,32.79,32.04,"1,601,800,000","98,290,300",26.78
"Oct 08, 2017",32.07,37.23,35.64,"1,781,810,000","107,725,000",31.01
"Oct 07, 2017",36.14,36.15,33.54,"1,677,000,000","48,058,800",33.30
"Oct 06, 2017",33.52,34.32,32.50,"1,625,060,000","47,267,100",32.23
"Oct 05, 2017",32.28,33.31,31.21,"1,560,680,000","66,785,000",28.98
"Oct 04, 2017",31.16,35.03,33.79,"1,689,390,000","60,565,900",30.09
"Oct 03, 2017",33.61,36.79,36.65,"1,832,530,000","74,199,600",32.01
"Oct 02, 2017",36.74,39.01,35.70,"1,785,160,000","116,098,000",34.90
"Oct 01, 2017",35.72,35.83,34.12,"1,705,880,000","72,169,500",31.82
"Sep 30, 2017",34.21,34.24,28.59,"1,429,500,000","82,181,600",28.45
"Sep 29, 2017",28.64,30.41,30.25,"1,512,530,000","72,558,300",26.13
"Sep 28, 2017",29.76,32.69,31.78,"1,589,170,000","101,195,000",27.68
"Sep 27, 2017",31.79,34.03,26.32,"1,316,040,000","163,163,000",26.32
"Sep 26, 2017",26.38,27.30,26.12,"1,305,990,000","65,868,600",24.46
"Sep 25, 2017",26.02,27.08,19.80,"989,892,000","81,225,500",19.80
"Sep 24, 2017",19.79,20.43,20.17,"1,008,660,000","11,967,200",19.28
"Sep 23, 2017",20.18,20.59,18.58,"929,086,000","17,216,800",18.30
"Sep 22, 2017",18.69,19.32,17.39,"869,657,000","22,480,200",16.98
