Date,Low,High,Close,Open,Market Cap,Volume
"Jul 05, 2017",2538.55,2622.65,2601.99,2602.87,"42,760,800,000","941,566,000"
"Jul 04, 2017",2559.35,2631.59,2601.64,2561.00,"42,067,900,000","985,516,000"
"Jul 03, 2017",2480.47,2595.00,2564.06,2498.56,"41,037,200,000","964,112,000"
"Jul 02, 2017",2394.84,2514.28,2506.47,2436.40,"40,010,500,000","803,747,000"
"Jul 01, 2017",2419.23,2515.27,2434.55,2492.60,"40,928,200,000","779,914,000"
"Jun 30, 2017",2478.43,2559.25,2480.84,2539.24,"41,689,100,000","860,273,000"
"Jun 29, 2017",2510.48,2588.83,2539.32,2567.56,"42,150,300,000","949,979,000"
"Jun 28, 2017",2484.42,2603.98,2574.79,2553.03,"41,906,700,000","1,183,870,000"
"Jun 27, 2017",2332.99,2552.45,2552.45,2478.45,"40,677,900,000","1,489,790,000"
"Jun 26, 2017",2376.29,2615.25,2478.45,2590.57,"42,514,000,000","1,663,280,000"
"Jun 25, 2017",2552.12,2682.26,2589.41,2607.25,"42,783,800,000","1,161,100,000"
"Jun 24, 2017",2583.19,2757.94,2608.72,2738.52,"44,932,900,000","982,750,000"
"Jun 23, 2017",2706.37,2765.17,2744.91,2707.34,"44,415,900,000","961,319,000"
"Jun 22, 2017",2642.36,2723.74,2705.41,2691.03,"44,143,700,000","1,097,940,000"
"Jun 21, 2017",2660.40,2772.01,2689.10,2709.43,"44,440,800,000","1,626,580,000"
"Jun 20, 2017",2589.82,2763.45,2721.79,2591.26,"42,498,000,000","1,854,190,000"
"Jun 19, 2017",2549.03,2662.85,2589.60,2549.03,"41,800,600,000","1,446,840,000"
"Jun 18, 2017",2516.33,2662.10,2548.29,2655.35,"43,539,300,000","1,178,660,000"
"Jun 17, 2017",2484.96,2685.19,2655.88,2514.01,"41,217,200,000","1,534,510,000"
"Jun 16, 2017",2385.15,2539.92,2518.56,2469.57,"40,484,100,000","1,195,190,000"
"Jun 15, 2017",2212.96,2534.71,2464.58,2499.58,"40,971,300,000","2,026,260,000"
"Jun 14, 2017",2412.94,2786.83,2506.37,2716.88,"44,528,300,000","1,696,560,000"
"Jun 13, 2017",2650.38,2789.04,2717.02,2680.91,"43,934,100,000","1,781,200,000"
